Date,Close
1970-01-02,809.2
1970-01-05,811.3
1970-01-06,803.7
1970-01-07,801.8
1970-01-08,802.1
1970-01-09,798.1
1970-01-12,790.5
1970-01-13,788.0
1970-01-14,787.2
1970-01-15,785.0
1970-01-16,782.6
1970-01-19,776.1
1970-01-20,777.9
1970-01-21,782.3
1970-01-22,786.1
1970-01-23,775.5
1970-01-26,768.9
1970-01-27,764.0
1970-01-28,758.8
1970-01-29,748.4
1970-01-30,744.1
1970-02-02,746.4
1970-02-03,757.5
1970-02-04,754.5
1970-02-05,750.3
1970-02-06,752.8
1970-02-09,755.7
1970-02-10,746.6
1970-02-11,757.3
1970-02-12,755.6
1970-02-13,753.3
1970-02-16,753.7
1970-02-17,747.4
1970-02-18,756.8
1970-02-19,757.9
1970-02-20,757.5
1970-02-24,754.4
1970-02-25,768.3
1970-02-26,764.5
1970-02-27,777.6
1970-03-02,780.2
1970-03-03,787.4
1970-03-04,788.2
1970-03-05,787.6
1970-03-06,784.1
1970-03-09,778.3
1970-03-10,779.7
1970-03-11,778.1
1970-03-12,776.5
1970-03-13,772.1
1970-03-16,765.1
1970-03-17,767.4
1970-03-18,768.0
1970-03-19,765.0
1970-03-20,763.7
1970-03-23,763.6
1970-03-24,773.8
1970-03-25,790.1
1970-03-26,791.1
1970-03-30,784.7
1970-03-31,785.6
1970-04-01,792.0
1970-04-02,792.4
1970-04-03,791.8
1970-04-06,791.2
1970-04-07,791.6
1970-04-08,791.6
1970-04-09,792.5
1970-04-10,790.5
1970-04-13,785.9
1970-04-14,780.6
1970-04-15,782.6
1970-04-16,775.9
1970-04-17,775.9
1970-04-20,775.9
1970-04-21,772.5
1970-04-22,762.6
1970-04-23,750.6
1970-04-24,747.3
1970-04-27,735.2
1970-04-28,724.3
1970-04-29,737.4
1970-04-30,736.1
1970-05-01,733.6
1970-05-04,714.6
1970-05-05,709.7
1970-05-06,718.4
1970-05-07,723.1
1970-05-08,717.7
1970-05-11,710.1
1970-05-12,704.6
1970-05-13,693.8
1970-05-14,684.8
1970-05-15,702.2
1970-05-18,702.8
1970-05-19,691.4
1970-05-20,676.6
1970-05-21,665.3
1970-05-22,662.2
1970-05-25,641.4
1970-05-26,631.2
1970-05-27,663.2
1970-05-28,684.2
1970-05-29,700.4
1970-06-01,710.4
1970-06-02,709.6
1970-06-03,713.9
1970-06-04,706.5
1970-06-05,695.0
1970-06-08,700.2
1970-06-09,700.2
1970-06-10,694.4
1970-06-11,684.4
1970-06-12,684.2
1970-06-15,687.4
1970-06-16,706.3
1970-06-17,704.7
1970-06-18,712.7
1970-06-19,720.4
1970-06-22,716.1
1970-06-23,698.1
1970-06-24,692.3
1970-06-25,693.6
1970-06-26,687.8
1970-06-29,682.9
1970-06-30,683.5
1970-07-01,687.6
1970-07-02,689.1
1970-07-06,675.7
1970-07-07,669.4
1970-07-08,682.1
1970-07-09,692.8
1970-07-10,700.1
1970-07-13,702.2
1970-07-14,703.0
1970-07-15,711.7
1970-07-16,723.4
1970-07-17,735.1
1970-07-20,733.9
1970-07-21,722.1
1970-07-22,724.7
1970-07-23,732.7
1970-07-24,730.2
1970-07-27,730.1
1970-07-28,731.5
1970-07-29,735.6
1970-07-30,734.7
1970-07-31,734.1
1970-08-03,723.0
1970-08-04,725.9
1970-08-05,724.8
1970-08-06,722.8
1970-08-07,725.7
1970-08-10,713.9
1970-08-11,712.6
1970-08-12,710.6
1970-08-13,707.4
1970-08-14,710.8
1970-08-17,709.1
1970-08-18,716.7
1970-08-19,724.0
1970-08-20,729.6
1970-08-21,745.4
1970-08-24,759.6
1970-08-25,759.0
1970-08-26,760.5
1970-08-27,759.8
1970-08-28,765.8
1970-08-31,764.6
1970-09-01,758.2
1970-09-02,756.6
1970-09-03,765.3
1970-09-04,771.2
1970-09-08,773.1
1970-09-09,766.4
1970-09-10,760.8
1970-09-11,761.8
1970-09-14,757.1
1970-09-15,750.6
1970-09-16,754.3
1970-09-17,757.7
1970-09-18,758.5
1970-09-21,751.9
1970-09-22,747.5
1970-09-23,754.4
1970-09-24,759.3
1970-09-25,761.8
1970-09-28,759.0
1970-09-29,760.9
1970-09-30,760.7
1970-10-01,760.7
1970-10-02,766.2
1970-10-05,776.7
1970-10-06,782.5
1970-10-07,783.7
1970-10-08,777.0
1970-10-09,768.7
1970-10-12,764.2
1970-10-13,760.1
1970-10-14,762.7
1970-10-15,767.9
1970-10-16,763.4
1970-10-19,756.5
1970-10-20,758.8
1970-10-21,759.7
1970-10-22,757.9
1970-10-23,759.4
1970-10-26,756.4
1970-10-27,754.5
1970-10-28,756.0
1970-10-29,753.6
1970-10-30,755.6
1970-11-02,758.0
1970-11-03,768.1
1970-11-04,770.8
1970-11-05,771.6
1970-11-06,772.0
1970-11-09,777.7
1970-11-10,777.4
1970-11-11,779.5
1970-11-12,768.0
1970-11-13,759.8
1970-11-16,760.1
1970-11-17,760.5
1970-11-18,754.2
1970-11-19,755.8
1970-11-20,761.6
1970-11-23,767.5
1970-11-24,772.7
1970-11-25,774.7
1970-11-27,781.4
1970-11-30,794.1
1970-12-01,794.3
1970-12-02,802.6
1970-12-03,808.5
1970-12-04,816.1
1970-12-07,818.7
1970-12-08,815.1
1970-12-09,815.2
1970-12-10,821.1
1970-12-11,825.9
1970-12-14,823.2
1970-12-15,819.6
1970-12-16,819.1
1970-12-17,822.2
1970-12-18,822.8
1970-12-21,821.5
1970-12-22,822.8
1970-12-23,823.1
1970-12-24,828.4
1970-12-28,830.9
1970-12-29,842.0
1970-12-30,841.3
1970-12-31,838.9
1971-01-04,830.6
1971-01-05,835.8
1971-01-06,838.0
1971-01-07,837.8
1971-01-08,837.0
1971-01-11,837.2
1971-01-12,844.2
1971-01-13,841.1
1971-01-14,843.3
1971-01-15,845.7
1971-01-18,847.8
1971-01-19,849.5
1971-01-20,850.0
1971-01-21,854.7
1971-01-22,861.3
1971-01-25,865.6
1971-01-26,866.8
1971-01-27,860.8
1971-01-28,865.1
1971-01-29,868.5
1971-02-01,877.8
1971-02-02,874.6
1971-02-03,876.2
1971-02-04,874.8
1971-02-05,876.6
1971-02-08,882.1
1971-02-09,879.8
1971-02-10,881.1
1971-02-11,885.3
1971-02-12,888.8
1971-02-16,890.1
1971-02-17,887.9
1971-02-18,885.1
1971-02-19,878.6
1971-02-22,869.0
1971-02-23,870.0
1971-02-24,875.6
1971-02-25,882.0
1971-02-26,878.8
1971-03-01,882.5
1971-03-02,883.0
1971-03-03,882.4
1971-03-04,891.4
1971-03-05,898.0
1971-03-08,898.6
1971-03-09,899.1
1971-03-10,895.9
1971-03-11,899.4
1971-03-12,898.3
1971-03-15,908.2
1971-03-16,914.6
1971-03-17,914.0
1971-03-18,916.8
1971-03-19,912.9
1971-03-22,910.6
1971-03-23,908.9
1971-03-24,899.4
1971-03-25,900.8
1971-03-26,903.5
1971-03-29,903.5
1971-03-30,903.4
1971-03-31,904.4
1971-04-01,903.9
1971-04-02,903.0
1971-04-05,905.1
1971-04-06,912.7
1971-04-07,918.5
1971-04-08,920.4
1971-04-12,926.6
1971-04-13,927.3
1971-04-14,932.6
1971-04-15,938.2
1971-04-16,940.2
1971-04-19,948.9
1971-04-20,944.4
1971-04-21,941.3
1971-04-22,940.6
1971-04-23,947.8
1971-04-26,944.0
1971-04-27,947.1
1971-04-28,950.8
1971-04-29,948.2
1971-04-30,941.8
1971-05-03,932.4
1971-05-04,938.5
1971-05-05,939.9
1971-05-06,937.4
1971-05-07,937.0
1971-05-10,932.6
1971-05-11,937.3
1971-05-12,937.5
1971-05-13,936.3
1971-05-14,936.1
1971-05-17,921.3
1971-05-18,918.6
1971-05-19,920.0
1971-05-20,923.4
1971-05-21,921.9
1971-05-24,913.2
1971-05-25,906.7
1971-05-26,906.4
1971-05-27,905.8
1971-05-28,907.8
1971-06-01,913.7
1971-06-02,919.6
1971-06-03,921.3
1971-06-04,922.2
1971-06-07,923.1
1971-06-08,915.0
1971-06-09,912.5
1971-06-10,916.0
1971-06-11,916.5
1971-06-14,907.7
1971-06-15,907.2
1971-06-16,908.6
1971-06-17,906.3
1971-06-18,889.2
1971-06-21,876.5
1971-06-22,874.4
1971-06-23,879.5
1971-06-24,877.3
1971-06-25,876.7
1971-06-28,873.1
1971-06-29,882.3
1971-06-30,891.1
1971-07-01,893.0
1971-07-02,890.2
1971-07-06,892.3
1971-07-07,895.9
1971-07-08,901.0
1971-07-09,901.8
1971-07-12,903.4
1971-07-13,892.4
1971-07-14,891.2
1971-07-15,888.9
1971-07-16,888.5
1971-07-19,886.4
1971-07-20,892.3
1971-07-21,890.8
1971-07-22,886.7
1971-07-23,887.8
1971-07-26,888.9
1971-07-27,880.7
1971-07-28,872.0
1971-07-29,861.4
1971-07-30,858.4
1971-08-02,864.9
1971-08-03,850.0
1971-08-04,844.9
1971-08-05,849.5
1971-08-06,850.6
1971-08-09,842.7
1971-08-10,839.6
1971-08-11,846.4
1971-08-12,859.0
1971-08-13,856.0
1971-08-16,889.0
1971-08-17,899.9
1971-08-18,886.2
1971-08-19,880.8
1971-08-20,880.9
1971-08-23,892.4
1971-08-24,904.1
1971-08-25,908.4
1971-08-26,906.1
1971-08-27,908.2
1971-08-30,901.4
1971-08-31,898.1
1971-09-01,899.0
1971-09-02,900.6
1971-09-03,912.8
1971-09-07,916.5
1971-09-08,920.9
1971-09-09,915.9
1971-09-10,911.0
1971-09-13,909.4
1971-09-14,901.7
1971-09-15,904.9
1971-09-16,903.1
1971-09-17,908.2
1971-09-20,905.2
1971-09-21,903.4
1971-09-22,893.6
1971-09-23,891.3
1971-09-24,889.3
